Index,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
3484,SAW,X360,2009,Action,Konami Digital Entertainment,0.13,0.12,0,0.03,0.28,59,39,7.4,50,Zombie Studios,M
3485,Chromehounds,X360,2006,Simulation,Sega,0.24,0,0.01,0.02,0.28,71,60,7,72,From Software,T
3486,Harry Potter and the Sorcerer's Stone,PS2,2003,Action,Electronic Arts,0.14,0.11,0,0.04,0.28,56,14,7.6,21,Warthog,E
3487,Kung Fu Chaos,XB,2003,Fighting,Microsoft Game Studios,0.21,0.06,0,0.01,0.28,68,41,8.5,27,Just Add Monsters,T
3488,Shrek the Third,Wii,2007,Action,Activision,0.25,0.01,0,0.02,0.28,57,28,6.7,7,Amaze Entertainment,E10+
3489,Jackass the Game,PS2,2007,Action,Empire Interactive,0.14,0.11,0,0.04,0.28,58,24,6.6,14,Sidhe Interactive,M
3490,Pirates of the Caribbean: Dead Man's Chest,PSP,2006,Adventure,Disney Interactive Studios,0.25,0,0,0.02,0.28,52,34,8,17,Griptonite Games,T
3491,Operation Flashpoint: Red River,X360,2011,Shooter,Codemasters,0.1,0.14,0.01,0.03,0.28,69,64,6.1,29,Codemasters,M
3492,Transformers: Dark of the Moon,X360,2011,Action,Activision,0.13,0.12,0,0.03,0.28,59,53,6.7,30,High Moon Studios,T
3493,Surf's Up,DS,2007,Sports,Ubisoft,0.26,0,0,0.02,0.28,56,5,7,4,Ubisoft Quebec,E
3494,Assassin's Creed II: Discovery,DS,2009,Action,Ubisoft,0.15,0.11,0,0.03,0.28,69,20,7.3,22,Griptonite Games,T
3495,Syphon Filter: Dark Mirror,PS2,2007,Shooter,Sony Computer Entertainment,0.14,0.11,0,0.04,0.28,70,24,7.8,12,Sony Bend,T
3496,Mission: Impossible - Operation Surma,PS2,2003,Platform,Atari,0.14,0.11,0,0.04,0.28,64,30,7.8,10,Paradigm Entertainment,T
3497,MLB 07: The Show,PSP,2007,Sports,Sony Computer Entertainment,0.26,0,0,0.02,0.28,82,12,7.2,10,SCEA San Diego Studios,E
3498,Driver: Parallel Lines,PS2,2006,Racing,Atari,0.12,0.1,0.03,0.03,0.28,69,41,6.9,74,Reflections Interactive,M
3499,Mega Man ZX,DS,2006,Platform,Capcom,0.16,0,0.1,0.02,0.28,76,37,8.3,32,Inti Creates,E
3500,Backyard Wrestling 2: There Goes the Neighborhood,PS2,2004,Fighting,Eidos Interactive,0.14,0.11,0,0.04,0.28,46,23,4.7,10,Paradox Development,M
3501,Guitar Hero: Van Halen,Wii,2009,Misc,Activision,0.13,0.12,0,0.03,0.28,50,12,5.2,6,Neversoft Entertainment,T
3502,Dead or Alive,PS,1998,Fighting,Sony Computer Entertainment,0.09,0.06,0.1,0.02,0.28,84,10,8.6,18,Team Ninja,T
3503,Dead to Rights: Retribution,PS3,2010,Shooter,Namco Bandai Games,0.1,0.12,0.02,0.05,0.28,60,44,5.9,27,Volatile Games,M
3504,Wild ARMs 5,PS2,2006,Role-Playing,505 Games,0.14,0.11,0,0.04,0.28,71,26,7.5,22,Media Vision,T
3505,NFL Blitz 20-02,PS2,2002,Sports,Midway Games,0.14,0.11,0,0.04,0.28,76,22,8.9,15,Midway,E
3506,El Shaddai: Ascension of the Metatron,PS3,2011,Action,Ignition Entertainment,0.11,0.06,0.08,0.03,0.28,78,46,7.5,40,Ignition Entertainment,T
3507,Tony Hawk: Shred,PS3,2010,Sports,Activision,0.18,0.06,0,0.04,0.28,56,5,6.7,6,Robomodo,E
3508,NCAA March Madness 2005,XB,2004,Sports,Electronic Arts,0.21,0.06,0,0.01,0.28,80,18,7.8,4,EA Canada,E
3509,Kenka Bancho: Badass Rumble,PSP,2008,Action,Spike,0.06,0,0.2,0.01,0.28,70,21,7.5,6,Bullets,T
3510,Silent Hill 2: Restless Dreams,XB,2001,Action,Konami Digital Entertainment,0.21,0.06,0,0.01,0.28,84,23,8.3,39,KCET,M
3511,NES Remix,WiiU,2014,Action,Nintendo,0.17,0,0.08,0.02,0.28,71,34,7.1,133,Indies Zero,E
3512,Bass Strike,PS2,2001,Sports,THQ,0.14,0.11,0,0.04,0.28,57,11,5.8,4,THQ,E
3513,NHL Hitz 20-03,PS2,2002,Sports,Midway Games,0.14,0.11,0,0.04,0.28,82,19,8.4,11,Midway,E
3514,Bionic Commando,X360,2009,Platform,Capcom,0.12,0.12,0.01,0.03,0.28,70,65,7.3,87,GRIN,M
3515,Monopoly Streets,X360,2010,Misc,Electronic Arts,0.16,0.09,0,0.02,0.28,66,18,6.6,16,Electronic Arts,E
3516,Trivial Pursuit,PS3,2009,Misc,Electronic Arts,0.12,0.11,0,0.05,0.28,66,13,7.1,7,EA Bright Light,E
3517,Medieval Moves: Deadmund's Quest,PS3,2011,Action,Sony Computer Entertainment,0.13,0.11,0,0.04,0.28,61,41,6.5,17,Zindagi Games,E10+
3518,Mister Mosquito,PS2,2001,Shooter,Eidos Interactive,0.05,0.04,0.17,0.01,0.28,65,23,4.9,11,Zoom,T
3519,Rugby World Cup 2011,X360,2011,Sports,505 Games,0.03,0.21,0,0.04,0.28,55,14,3.9,13,HB Studios Multimedia,E
3520,Virtua Fighter 5 Online,X360,2007,Fighting,Sega,0.2,0.02,0.03,0.02,0.28,89,36,7.6,62,Sega AM2,T
3521,Indiana Jones and the Staff of Kings,PS2,2009,Action,Activision,0.11,0.01,0,0.16,0.28,55,4,7.5,13,LucasArts,T
3522,Angry Birds Star Wars,X360,2013,Strategy,Activision,0.16,0.1,0,0.02,0.28,59,3,5.6,25,Exient Entertainment,E
3523,Dave Mirra Freestyle BMX 2,GC,2001,Sports,Acclaim Entertainment,0.21,0.06,0,0.01,0.28,78,15,7.7,10,"Z-Axis, Ltd.",T
3524,One Piece: Unlimited World Red,PS3,2014,Action,Namco Bandai Games,0.09,0.1,0.06,0.04,0.28,71,28,7.3,46,Ganbarion,T
3525,True Crime: New York City,XB,2005,Action,Activision,0.21,0.06,0,0.01,0.28,60,43,7.8,17,Exakt,M
3526,Summer Heat Beach Volleyball,PS2,2003,Sports,Acclaim Entertainment,0.14,0.11,0,0.04,0.28,65,21,7.7,19,Acclaim Studios Cheltenham,T
3527,Avatar: The Last Airbender,Wii,2006,Adventure,THQ,0.23,0.02,0,0.02,0.28,56,15,5.8,8,AWE Games,E10+
3528,Castlevania: Aria of Sorrow,GBA,2003,Platform,Konami Digital Entertainment,0.2,0.07,0,0,0.28,91,29,9.1,127,KCET,T
3529,Myst III: Exile,PS2,2002,Adventure,Ubisoft,0.14,0.11,0,0.04,0.28,57,9,7,4,Presto Studios,E
3530,Shin Megami Tensei: Strange Journey,DS,2009,Role-Playing,Atlus,0.13,0,0.14,0.01,0.28,80,26,8.7,69,Atlus,M
3531,Army of Two: The Devil's Cartel,PS3,2013,Shooter,Electronic Arts,0.11,0.11,0.01,0.05,0.28,58,27,6.7,100,Visceral Games,M
3532,Patapon 3,PSP,2011,Misc,Sony Computer Entertainment,0.05,0.03,0.17,0.02,0.27,74,41,7.2,35,SCE Japan Studio,E
3533,Ice Age: Dawn of the Dinosaurs,Wii,2009,Action,Activision,0.11,0.14,0,0.03,0.27,75,12,8.3,6,Activision,E10+
3534,Tao Feng: Fist of the Lotus,XB,2003,Fighting,Microsoft Game Studios,0.21,0.06,0,0.01,0.27,65,32,6.5,8,Studio Gigante,M
3535,Guitar Hero: Van Halen,PS3,2009,Misc,Activision,0.14,0.09,0,0.04,0.27,59,33,4.7,9,Neversoft Entertainment,T
3536,Dragon Ball Z: Budokai 2,GC,2004,Fighting,Atari,0.21,0.06,0,0.01,0.27,66,9,5.8,12,Pyramid,T
3537,Over the Hedge,DS,2006,Platform,Activision,0.24,0.01,0,0.02,0.27,71,17,6.4,9,Vicarious Visions,E
3538,Siren: Blood Curse,PS3,2008,Action,Sony Computer Entertainment,0,0.17,0.09,0.01,0.27,78,42,8.1,87,SCE Japan Studio,M
3539,NHL Hitz 20-02,XB,2001,Sports,Midway Games,0.2,0.06,0,0.01,0.27,79,20,8.7,11,Black Box,E
3540,GRID 2,X360,2013,Racing,Codemasters,0.08,0.16,0,0.03,0.27,78,51,5.8,156,Codemasters,E
3541,Evil Dead: Hail to the King,PS,2000,Adventure,THQ,0.15,0.1,0,0.02,0.27,51,8,6,7,Heavy Iron Studios,M
3542,Need for Speed: The Run,Wii,2011,Action,Electronic Arts,0.11,0.12,0.01,0.03,0.27,64,6,3.6,21,Firebrand Games,E10+
3543,Dave Mirra Freestyle BMX: Maximum Remix,PS,2001,Sports,Acclaim Entertainment,0.15,0.1,0,0.02,0.27,67,11,8.1,7,"Z-Axis, Ltd.",E
3544,The Evil Within,PC,2014,Action,Bethesda Softworks,0.1,0.16,0,0.02,0.27,68,18,5.9,721,Tango Gameworks,M
3545,Rock Revolution,X360,2008,Misc,Konami Digital Entertainment,0.25,0,0,0.02,0.27,38,28,5.1,17,"Zoe Mode, HB Studios Multimedia",T
3546,Dead Rising 2: Off the Record,X360,2011,Action,Capcom,0.17,0.08,0,0.02,0.27,72,48,7.5,60,Capcom Vancouver,M
3547,WWII Aces,Wii,2008,Simulation,Destineer,0.25,0,0,0.02,0.27,41,7,5.4,18,Arcade Moon,T
3548,Athens 2004,PS2,2004,Sports,Sony Computer Entertainment,0.13,0.1,0,0.03,0.27,61,57,7.2,13,Eurocom Entertainment Software,E
3549,Pro Race Driver,PS2,2002,Racing,Codemasters,0.13,0.1,0,0.03,0.27,81,22,8.5,20,Codemasters,T
3550,Baten Kaitos: Eternal Wings and the Lost Ocean,GC,2003,Role-Playing,Nintendo,0.21,0.05,0,0.01,0.27,80,48,9,59,Monolith Soft,T
3551,Iron Man 2,X360,2010,Action,Sega,0.15,0.09,0,0.03,0.27,41,35,5.9,54,Sega Studios San Francisco,T
3552,Rocky: Legends,PS2,2004,Action,Ubisoft,0.13,0.1,0,0.03,0.27,65,24,8.6,12,Venom Games,T
3553,The Warriors,PSP,2007,Action,Take-Two Interactive,0.23,0.01,0,0.02,0.27,81,36,7.8,21,"Rockstar Toronto, Rockstar Leeds",M
3554,RalliSport Challenge 2,XB,2004,Racing,Microsoft Game Studios,0.18,0.08,0,0.01,0.27,87,69,9.1,33,Digital Illusions,E
3555,Pac-Pix,DS,2005,Puzzle,Namco Bandai Games,0.16,0,0.1,0.01,0.27,71,41,7.1,7,Namco,E
3556,F1 Race Stars,X360,2012,Racing,Codemasters,0.07,0.17,0,0.02,0.27,64,33,5.7,22,Codemasters,E
3557,Sing Party,WiiU,2012,Misc,Nintendo,0.13,0.12,0,0.02,0.27,60,21,5.4,18,FreeStyleGames,E10+
3558,NHL 07,X360,2006,Sports,Electronic Arts,0.25,0,0,0.02,0.27,79,49,5.3,167,EA Sports,E10+
3559,RollerCoaster Tycoon 3,PC,2004,Strategy,Atari,0.01,0.22,0,0.04,0.27,81,39,5,346,Frontier Developments,E
3560,Ty the Tasmanian Tiger,GC,2002,Platform,Electronic Arts,0.21,0.05,0,0.01,0.27,69,12,8.7,15,Krome Studios,E
3561,WWE Road to WrestleMania X8,GBA,2002,Fighting,THQ,0.19,0.07,0,0,0.27,73,10,7.5,6,Natsume,E
3562,Fullmetal Alchemist 2: Curse of the Crimson Elixir,PS2,2004,Role-Playing,Square Enix,0.13,0.1,0,0.03,0.27,67,21,8.4,20,Racjin,T
3563,NASCAR 06: Total Team Control,XB,2005,Racing,Electronic Arts,0.2,0.06,0,0.01,0.27,79,25,5.9,7,EA Sports,E
3564,BloodRayne 2,PS2,2004,Shooter,THQ,0.13,0.1,0,0.03,0.27,70,26,8.5,21,Terminal Reality,M
3565,Rory McIlroy PGA Tour,XOne,2015,Action,Electronic Arts,0.16,0.09,0,0.02,0.27,60,26,4.3,77,EA Tiburon,E
3566,The Club,X360,2008,Shooter,Sega,0.15,0.1,0,0.02,0.27,76,63,6.8,43,Bizarre Creations,M
3567,NHL 2002,XB,2001,Sports,Electronic Arts,0.2,0.06,0,0.01,0.27,89,17,8.8,5,EA Sports,E
3568,LEGO The Hobbit,XOne,2014,Action,Warner Bros. Interactive Entertainment,0.13,0.12,0,0.02,0.27,69,20,6.8,36,TT Games,E10+
3569,Lightning Returns: Final Fantasy XIII,X360,2013,Role-Playing,Square Enix,0.15,0.08,0.01,0.02,0.27,69,21,6.6,222,Square Enix,T
3570,Shadow of Rome,PS2,2005,Action,Capcom,0.13,0.1,0,0.03,0.27,75,52,8.3,62,Capcom,M
3571,NASCAR 2011: The Game,PS3,2011,Racing,Activision,0.25,0,0,0.02,0.27,62,16,3.7,15,Eutechnyx,E
3572,Harry Potter and the Order of the Phoenix,PS2,2007,Action,Electronic Arts,0.13,0.1,0,0.03,0.27,61,17,8,28,EA Games,E10+
3573,Transformers: Cybertron Adventures,Wii,2010,Action,Activision,0.14,0.1,0,0.02,0.27,41,15,6.5,8,Next Level Games,T
3574,Stuntman: Ignition,PS2,2007,Racing,THQ,0.13,0.1,0,0.03,0.27,71,8,6.4,8,Paradigm Entertainment,T
3575,NHL 2K11,Wii,2010,Sports,Take-Two Interactive,0.23,0.02,0,0.02,0.27,62,12,5.8,4,Visual Concepts,E10+
3576,Fantastic 4,XB,2005,Action,Activision,0.2,0.06,0,0.01,0.27,62,46,6.6,8,7 Studios,T
3577,MotoGP,PS2,2000,Racing,Namco Bandai Games,0.06,0.05,0.14,0.02,0.27,77,16,6,5,Namco,E
3578,Batman: Arkham Origins Blackgate,3DS,2013,Action,Warner Bros. Interactive Entertainment,0.16,0.09,0,0.02,0.27,68,7,6.8,38,Armature Studio,T
3579,Shadows of the Damned,PS3,2011,Action,Electronic Arts,0.11,0.09,0.04,0.03,0.27,77,56,8.1,124,Grasshopper Manufacture,M
3580,R.U.S.E.,PC,2010,Strategy,Ubisoft,0.04,0.19,0,0.04,0.27,76,33,8.1,176,Eugen Systems,T
3581,NBA Live 2004,GC,2003,Sports,Electronic Arts,0.21,0.05,0,0.01,0.27,84,17,9,4,EA Sports,E
3582,Reign of Fire,PS2,2002,Shooter,BAM! Entertainment,0.13,0.1,0,0.03,0.27,56,16,7,4,Kuju Entertainment,M
3583,The Sims 2: Pets,GC,2006,Simulation,Electronic Arts,0.21,0.05,0,0.01,0.27,66,15,7.3,8,Maxis,T
3584,Ultimate NES Remix,3DS,2014,Action,Unknown,0.15,0.09,0,0.02,0.27,69,16,7.6,32,Indies Zero,E
3585,Tropico 4,PC,2011,Strategy,Kalypso Media,0.1,0.13,0,0.04,0.27,78,46,7.7,359,Haemimont,T
3586,The BIGS,X360,2007,Sports,Take-Two Interactive,0.18,0.08,0,0,0.27,79,23,8.4,21,Blue Castle Games,E
3587,Jurassic Park: Operation Genesis,PS2,2003,Simulation,Konami Digital Entertainment,0.13,0.1,0,0.03,0.27,75,13,8.9,21,Blue Tongue Entertainment,T
3588,Knockout Kings 2002,XB,2002,Sports,Electronic Arts,0.2,0.06,0,0.01,0.27,78,20,7.9,7,Electronic Arts,T
3589,InuYasha: Feudal Combat,PS2,2005,Fighting,Namco Bandai Games,0.13,0.1,0,0.03,0.27,52,14,8.3,21,Eighting,T
3590,R.U.S.E.,X360,2010,Strategy,Ubisoft,0.12,0.11,0,0.02,0.27,78,45,7,38,Eugen Systems,T
3591,Duel Masters,PS2,2004,Strategy,Atari,0.13,0.1,0,0.03,0.27,66,20,8.3,6,High Voltage Software,E
3592,MotionSports: Adrenaline,X360,2011,Sports,Ubisoft,0.14,0.1,0,0.03,0.27,41,8,7.4,7,Ubisoft Vancouver,E
3593,NBA 07,PS3,2006,Sports,Sony Computer Entertainment,0.24,0,0.01,0.02,0.27,63,24,6.3,10,SCEA,E
3594,Call of Juarez: The Cartel,X360,2011,Shooter,Ubisoft,0.14,0.1,0,0.03,0.27,47,62,5.7,109,Techland,M
3595,My Japanese Coach,DS,2008,Misc,Ubisoft,0.24,0,0,0.02,0.27,59,4,6.7,6,"Ubisoft, Sensory Sweep",E
3596,Need for Speed: Most Wanted,DS,2005,Racing,Electronic Arts,0.24,0.01,0,0.02,0.27,45,4,6.1,22,EA Canada,E
3597,Section 8,X360,2009,Shooter,SouthPeak Games,0.15,0.09,0,0.02,0.27,69,49,7.3,59,TimeGate Studios,T
3598,ESPN NBA Basketball,XB,2003,Sports,Sega,0.2,0.06,0,0.01,0.27,87,18,8.2,25,Visual Concepts,E
3599,Lowrider,PS2,2002,Misc,Pacific Century Cyber Works,0.11,0.09,0.03,0.03,0.26,46,14,8.4,11,Pacific Century Cyber Works,T
3600,Family Guy: Back to the Multiverse,PS3,2012,Action,Activision,0.12,0.1,0,0.04,0.26,40,9,6.4,31,Heavy Iron Studios,M
3601,All-Pro Football 2K8,X360,2007,Sports,Take-Two Interactive,0.24,0,0,0.02,0.26,75,22,6.8,52,Visual Concepts,E10+
3602,Fish Tycoon,DS,2007,Simulation,Majesco Entertainment,0.24,0,0,0.02,0.26,46,9,7,6,"LDW, Big Fish Games",E
3603,Plants vs. Zombies,X360,2010,Strategy,PopCap Games,0.24,0,0,0.02,0.26,89,27,8.2,160,PopCap,E10+
3604,Batman: Return to Arkham,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.07,0.16,0,0.04,0.26,73,28,8.5,79,"Rocksteady Studios, Virtuos",T
3605,Rune: Viking Warlord,PS2,2001,Action,Take-Two Interactive,0.13,0.1,0,0.03,0.26,53,16,7.3,11,Human Head Studios,M
3606,The Incredible Hulk,X360,2008,Action,Sega,0.22,0.02,0,0.02,0.26,55,42,6.4,24,Edge of Reality,T
3607,Panzer Dragoon Orta,XB,2002,Shooter,Sega,0.16,0.05,0.04,0.01,0.26,90,41,8.5,64,Smilebit,T
3608,America's Test Kitchen: Let's Get Cooking,DS,2010,Simulation,Nintendo,0.25,0,0,0.02,0.26,87,4,5.6,9,Indies Zero,E
3609,Suikoden Tierkreis,DS,2008,Role-Playing,Konami Digital Entertainment,0.09,0.01,0.15,0.01,0.26,76,24,7.4,37,Konami,E10+
3610,Superman Returns,X360,2006,Action,Electronic Arts,0.23,0.01,0,0.02,0.26,51,48,6.2,49,EA Tiburon,T
3611,Shin Megami Tensei: Devil Survivor,DS,2009,Role-Playing,Atlus,0.13,0,0.12,0.01,0.26,84,28,8.8,79,Atlus,T
3612,Tearaway Unfolded,PS4,2015,Platform,Sony Computer Entertainment,0.09,0.13,0,0.04,0.26,81,70,8.1,188,Media Molecule,E
3613,MLB SlugFest 2006,PS2,2006,Sports,Midway Games,0.13,0.1,0,0.03,0.26,56,11,7.5,10,Blue Shift,E10+
3614,Etrian Odyssey II: Heroes of Lagaard,DS,2008,Role-Playing,Atlus,0.09,0,0.16,0.01,0.26,82,17,8.9,24,Atlus,E10+
3615,The Incredible Hulk,PS3,2008,Action,Sega,0.22,0.02,0,0.02,0.26,55,26,6.8,20,Edge of Reality,T
3616,Deadly Premonition,X360,2010,Action,Rising Star Games,0.18,0.06,0,0.02,0.26,68,39,8.2,332,Access Games,M
3617,Ford Racing 3,PS2,2004,Racing,Take-Two Interactive,0.13,0.1,0,0.03,0.26,50,7,6.6,8,Razorworks Studios,E
3618,The Adventures of Tintin: The Game,PS3,2011,Action,Ubisoft,0.06,0.15,0,0.05,0.26,59,27,5.7,13,Ubisoft Montpellier,E10+
3619,Dragon Ball Z: Tenkaichi Tag Team,PSP,2010,Fighting,Namco Bandai Games,0.11,0.03,0.09,0.03,0.26,63,22,8.6,20,Spike,T
3620,Etrian Odyssey Untold: The Millennium Girl,3DS,2013,Role-Playing,Atlus,0.1,0.01,0.14,0.01,0.26,80,41,8.2,89,Atlus,T
3621,Final Fantasy V Advance,GBA,2006,Role-Playing,Nintendo,0,0,0.26,0.01,0.26,83,25,7.2,75,TOSE,E
3622,Star Wars: Bounty Hunter,GC,2002,Shooter,LucasArts,0.2,0.05,0,0.01,0.26,67,20,7.6,16,LucasArts,T
3623,Dynasty Warriors 7: Xtreme Legends,PS3,2011,Action,Tecmo Koei,0.04,0.04,0.16,0.02,0.26,64,11,7.8,9,Omega Force,T
3624,Naruto: Ultimate Ninja Heroes,PSP,2006,Fighting,Namco Bandai Games,0.26,0,0,0,0.26,70,11,6.6,11,Bandai,T
3625,Angry Birds Trilogy,X360,2012,Action,Activision,0.18,0.05,0,0.02,0.26,63,13,3.5,27,"Rovio Mobile, Rovio Entertainment",E
3626,Major League Baseball 2K9,Wii,2009,Sports,Take-Two Interactive,0.24,0,0,0.02,0.26,61,5,4.5,10,2K Sports,E
3627,WWE 2K17,XOne,2016,Sports,Take-Two Interactive,0.12,0.12,0,0.02,0.26,68,12,5.5,27,Yuke's,T
3628,Battlestations: Midway,X360,2007,Strategy,Eidos Interactive,0.21,0.02,0,0.02,0.26,73,55,7.1,40,Eidos Interactive,T
3629,Riding Spirits,PS2,2002,Racing,BAM! Entertainment,0.13,0.1,0,0.03,0.26,59,14,9,17,Spike,E
3630,Project CARS,XOne,2015,Racing,Slightly Mad Studios,0.11,0.13,0,0.02,0.26,81,16,5.8,135,Slightly Mad Studios,E
3631,MLB 09: The Show,PSP,2009,Sports,Sony Computer Entertainment,0.24,0,0,0.02,0.26,78,12,6.9,7,SCEA San Diego Studios,E
3632,Bust A Groove 2,PS,1999,Misc,Enix Corporation,0.04,0.03,0.18,0.02,0.26,66,8,8.9,35,Metro,E
3633,Armored Core: Nexus,PS2,2004,Simulation,Indie Games,0.06,0.05,0.14,0.02,0.26,73,19,8.7,7,From Software,T
3634,Evolution Skateboarding,PS2,2002,Sports,Konami Digital Entertainment,0.13,0.1,0,0.03,0.26,44,14,6.7,9,Konami,T
3635,Outlaw Volleyball,XB,2003,Sports,TDK Mediactive,0.19,0.06,0,0.01,0.26,77,33,8.4,7,Hypnotix,M
3636,Batman: Vengeance,GC,2001,Adventure,Ubisoft,0.2,0.05,0,0.01,0.26,70,17,5.8,16,Ubisoft Montreal,T
3637,Spider-Man: Web of Shadows,PS3,2008,Action,Activision,0.2,0.04,0,0.02,0.26,67,44,7.9,34,"Treyarch, Shaba Games",T
3638,Legaia 2: Duel Saga,PS2,2001,Role-Playing,Eidos Interactive,0.13,0.1,0,0.03,0.26,67,21,8.4,43,Prokion,T
3639,Crash Nitro Kart,GC,2003,Racing,Vivendi Games,0.2,0.05,0,0.01,0.26,66,10,7.4,8,Vicarious Visions,E
3640,ExciteBots: Trick Racing,Wii,2009,Racing,Nintendo,0.24,0,0,0.02,0.26,77,29,8.6,26,Monster Games Inc.,E
3641,Oddworld: Stranger's Wrath,XB,2005,Adventure,Electronic Arts,0.19,0.06,0,0.01,0.26,88,65,9.1,58,Oddworld Inhabitants,T
3642,King of Fighters: Maximum Impact,PS2,2004,Fighting,Ignition Entertainment,0.13,0.1,0,0.03,0.26,64,45,6.9,12,SNK Playmore,T
3643,Atelier Ayesha: The Alchemist of Dusk,PS3,2012,Role-Playing,Tecmo Koei,0.06,0.04,0.14,0.02,0.26,70,17,6.6,120,Gust,T
3644,Battleborn,PS4,2016,Shooter,Take-Two Interactive,0.12,0.08,0.02,0.04,0.26,68,55,6.8,402,Gearbox Software,T
3645,Drakan: The Ancients' Gates,PS2,2002,Adventure,Sony Computer Entertainment,0.13,0.1,0,0.03,0.26,78,31,9,39,Surreal Software,M
3646,Resident Evil: Revelations,X360,2013,Action,Capcom,0.12,0.1,0.02,0.02,0.26,75,30,7.4,170,Capcom,M
3647,Tony Hawk: Shred,X360,2010,Sports,Activision,0.17,0.06,0,0.02,0.26,53,10,6.6,10,Robomodo,E
3648,Tokyo Jungle,PS3,2012,Action,Sony Computer Entertainment,0,0,0.26,0,0.26,74,60,8.4,89,Crispy's,T
3649,Army of Two: The Devil's Cartel,X360,2013,Shooter,Electronic Arts,0.16,0.07,0,0.02,0.26,54,55,6.2,195,Visceral Games,M
3650,Puppeteer,PS3,2013,Platform,Sony Computer Entertainment Europe,0.11,0.08,0.02,0.04,0.26,80,75,8.5,236,SCE Japan Studio,E10+
3651,Tom Clancy's Splinter Cell: Double Agent,PS3,2007,Action,Ubisoft,0.2,0.03,0,0.03,0.26,78,17,6.5,41,Ubisoft Shanghai,M
3652,Resident Evil: Deadly Silence,DS,2006,Action,Capcom,0.11,0.02,0.11,0.01,0.26,71,41,8.4,36,Capcom,M
3653,Legendary,X360,2008,Shooter,Atari,0.08,0.15,0,0.03,0.26,47,39,7.1,87,Spark Unlimited,M
3654,Peter Jackson's King Kong: The Official Game of the Movie,X360,2005,Action,Ubisoft,0.2,0.03,0,0.02,0.26,80,57,7.5,79,Ubisoft Montpellier,T
3655,Rayman DS,DS,2005,Platform,Ubisoft,0.21,0.03,0,0.02,0.26,58,20,7.6,19,DC Studios,E
3656,All-Star Baseball 2003,XB,2002,Sports,Acclaim Entertainment,0.19,0.06,0,0.01,0.26,79,15,8.1,7,Acclaim,E
3657,MTX Mototrax,PS2,2004,Racing,Activision,0.13,0.1,0,0.03,0.26,77,30,8.1,9,Left Field Productions,E
3658,NBA ShootOut 2004,PS2,2003,Sports,Sony Computer Entertainment,0.13,0.1,0,0.03,0.26,58,19,7.8,8,989 Sports,E
3659,Nancy Drew: The Mystery of the Clue Bender Society,DS,2008,Adventure,Codemasters,0.24,0,0,0.02,0.26,46,5,3.6,5,Gorilla Systems,E10+
3660,Castlevania: Harmony of Dissonance,GBA,2002,Platform,Konami Digital Entertainment,0.16,0.06,0.04,0,0.26,87,27,8.2,39,KCET,T
3661,Formula One 2001,PS2,2001,Racing,Sony Computer Entertainment,0.13,0.1,0,0.03,0.26,73,18,6,5,Studio Liverpool,E
3662,Pirates of the Caribbean: Dead Man's Chest,DS,2006,Adventure,Disney Interactive Studios,0.23,0.01,0,0.02,0.26,63,11,8.6,7,Amaze Entertainment,T
3663,Baldur's Gate: Dark Alliance II,XB,2004,Role-Playing,Acclaim Entertainment,0.19,0.06,0,0.01,0.26,77,44,7.9,16,Black Isle Studios,T
3664,Madden NFL 2005,DS,2004,Sports,Electronic Arts,0.24,0,0,0.02,0.26,68,25,7.7,7,Exient Entertainment,E
3665,MVP Baseball 2004,GC,2004,Sports,Electronic Arts,0.2,0.05,0,0.01,0.26,89,25,8.5,11,EA Sports,E
3666,Polarium,DS,2004,Puzzle,Nintendo,0.13,0.01,0.11,0.01,0.26,73,34,8.4,17,Mitchell,E
3667,Super Street Fighter II: Turbo Revival,GBA,2001,Fighting,Ubisoft,0.18,0.07,0,0,0.25,84,17,7.4,10,Capcom,T
3668,Secret Weapons Over Normandy,XB,2003,Simulation,LucasArts,0.19,0.05,0,0.01,0.25,77,31,8.8,4,Totally Games,T
3669,The Elder Scrolls IV: Oblivion,PC,2006,Role-Playing,Take-Two Interactive,0.01,0.2,0,0.04,0.25,94,54,8.1,2454,Bethesda Softworks,M
3670,Metroid Prime Pinball,DS,2005,Misc,Nintendo,0.21,0,0.02,0.02,0.25,79,51,7.9,32,Fuse Games Limited,E
3671,Teen Titans,PS2,2006,Action,THQ,0.12,0.1,0,0.03,0.25,56,12,8.6,17,Artificial Mind and Movement,E10+
3672,Bomberman Generation,GC,2002,Adventure,Vivendi Games,0.15,0.04,0.06,0.01,0.25,81,19,8.5,15,Hudson,E
3673,Sega Rally Revo,PSP,2007,Racing,Sega,0.03,0.15,0,0.07,0.25,74,14,7.2,9,Bugbear,E
3674,Surfing H3O,PS2,2000,Sports,Take-Two Interactive,0.12,0.1,0,0.03,0.25,46,15,4.6,8,Opus,E
3675,NASCAR 09,X360,2008,Racing,Electronic Arts,0.23,0,0,0.02,0.25,69,32,7.8,15,EA Games,E
3676,NASCAR 09,PS3,2008,Racing,Electronic Arts,0.22,0.01,0,0.02,0.25,65,22,7.5,10,EA Games,E
